Date,Open,High,Low,Close,Adj Close,Volume
2010-08-05,19.510000,19.650000,19.200001,19.260000,14.396565,20366
2010-08-06,19.434999,19.434999,18.860001,18.924999,14.146156,23645
2010-08-09,19.389999,19.415001,19.195000,19.370001,14.478794,7328
2010-08-10,19.504999,19.504999,19.100000,19.150000,14.314342,11740
2010-08-11,19.000000,19.205000,18.950001,19.170000,14.329290,15592
2010-08-12,19.070000,19.290001,19.010000,19.070000,14.254540,7329
2010-08-13,19.000000,19.230000,18.959999,19.080000,14.262019,8102
2010-08-16,19.150000,19.170000,18.969999,19.030001,14.224645,3620
2010-08-17,19.150000,19.280001,19.049999,19.280001,14.510642,3601
2010-08-18,19.275000,19.355000,19.059999,19.120001,14.390219,16845
2010-08-19,19.549999,19.549999,18.965000,18.965000,14.273564,13030
2010-08-20,19.230000,19.235001,19.020000,19.195000,14.446667,5376
2010-08-23,19.180000,19.330000,19.100000,19.160000,14.420330,7721
2010-08-24,19.240000,19.240000,18.969999,19.150000,14.412804,11152
2010-08-25,18.910000,19.100000,18.889999,19.100000,14.375169,8450
2010-08-26,19.100000,19.110001,18.799999,18.900000,14.224641,7633
2010-08-27,18.799999,18.959999,18.520000,18.570000,13.976273,8025
2010-08-30,18.709999,18.870001,18.629999,18.680000,14.059067,8545
2010-08-31,18.700001,18.700001,18.530001,18.580000,13.983798,3713
2010-09-01,18.600000,18.670000,18.389999,18.670000,14.051536,26300
2010-09-02,18.520000,18.805000,18.520000,18.610001,14.006385,8086
2010-09-03,18.600000,19.080000,18.600000,18.934999,14.250982,19528
2010-09-06,18.940001,19.000000,18.820000,19.000000,14.299905,2387
2010-09-07,19.000000,19.040001,18.900000,18.969999,14.277328,5301
2010-09-08,18.959999,19.010000,18.809999,18.879999,14.209590,17575
2010-09-09,18.820000,18.975000,18.820000,18.975000,14.281090,3448
2010-09-10,18.950001,18.950001,18.700001,18.700001,14.074119,17082
2010-09-13,18.850000,19.070000,18.799999,19.049999,14.337538,20989
2010-09-14,19.400000,19.500000,19.110001,19.500000,14.676217,19906
2010-09-15,19.389999,19.389999,19.184999,19.230000,14.473012,7407
2010-09-16,19.240000,19.450001,19.139999,19.160000,14.420330,15266
2010-09-17,19.450001,19.584999,19.280001,19.299999,14.525690,17386
2010-09-20,19.250000,19.500000,19.250000,19.430000,14.623533,5911
2010-09-21,19.450001,19.490000,19.200001,19.245001,14.484300,14614
2010-09-22,19.150000,19.150000,18.250000,18.260000,13.742965,23341
2010-09-23,18.575001,18.590000,18.280001,18.410000,13.855854,17719
2010-09-24,18.450001,18.450001,18.260000,18.340000,13.803171,20277
2010-09-27,18.500000,18.555000,18.299999,18.299999,13.773064,15854
2010-09-28,18.400000,18.504999,17.950001,18.150000,13.660172,25488
2010-09-29,18.240000,18.240000,17.950001,17.980000,13.532222,16302
2010-09-30,18.000000,18.230000,17.950001,18.000000,13.547278,9401
2010-10-01,18.139999,18.139999,17.750000,17.750000,13.359120,16609
2010-10-04,17.600000,17.600000,17.400000,17.410000,13.103228,38764
2010-10-05,17.520000,17.639999,17.370001,17.639999,13.276334,19632
2010-10-06,17.690001,17.875000,17.490000,17.490000,13.163440,22724
2010-10-07,17.639999,17.775000,17.410000,17.735001,13.347833,10129
2010-10-08,17.650000,17.700001,17.540001,17.575001,13.227417,13140
2010-10-11,17.690001,17.889999,17.610001,17.700001,13.321489,41449
2010-10-12,17.770000,17.855000,17.655001,17.840000,13.426853,31060
2010-10-13,17.940001,18.030001,17.879999,17.959999,13.517176,22107
2010-10-14,18.100000,18.150000,17.840000,17.920000,13.487063,58022
2010-10-15,18.040001,18.160000,17.850000,18.100000,13.622544,29206
2010-10-18,18.379999,18.570000,18.280001,18.480000,13.908535,23814
2010-10-19,18.219999,18.350000,18.049999,18.270000,13.750486,69056
2010-10-20,18.270000,18.309999,18.080000,18.080000,13.607486,14664
2010-10-21,18.200001,18.240000,18.049999,18.209999,13.705325,17723
2010-10-22,18.219999,18.400000,18.150000,18.209999,13.705325,11195
2010-10-25,18.250000,18.285000,17.959999,18.100000,13.622544,59609
2010-10-26,18.080000,18.309999,18.000000,18.309999,13.780595,17277
2010-10-27,18.700001,18.830000,18.650000,18.730000,14.096695,24326
2010-10-28,18.870001,18.940001,18.754999,18.760000,14.119274,17057
2010-10-29,19.500000,19.700001,19.070000,19.190001,14.442904,66984
2010-11-01,19.290001,19.535000,19.160000,19.480000,14.661164,28011
2010-11-02,19.400000,19.480000,19.264999,19.415001,14.612248,32164
2010-11-03,19.549999,19.650000,19.344999,19.344999,14.559559,15120
2010-11-04,19.180000,19.290001,19.004999,19.135000,14.401508,45439
2010-11-05,19.200001,19.400000,18.900000,19.030001,14.322487,37852
2010-11-08,19.200001,19.629999,19.059999,19.445000,14.634824,42632
2010-11-09,19.340000,19.465000,19.209999,19.445000,14.634824,35170
2010-11-10,19.620001,19.844999,19.520000,19.639999,14.781584,46792
2010-11-11,19.465000,19.700001,19.195000,19.440001,14.631064,31606
2010-11-12,19.450001,19.450001,19.150000,19.150000,14.412804,17200
2010-11-15,19.250000,19.389999,19.160000,19.309999,14.533216,8149
2010-11-16,19.200001,19.225000,18.955000,19.000000,14.419382,11622
2010-11-17,19.070000,19.219999,19.000000,19.000000,14.419382,8465
2010-11-18,19.065001,19.139999,18.790001,19.100000,14.495275,15165
2010-11-19,18.889999,19.004999,18.730000,18.805000,14.271394,12711
2010-11-22,18.895000,18.900000,18.709999,18.820000,14.282776,18177
2010-11-23,18.860001,18.990000,18.709999,18.709999,14.199295,20715
2010-11-24,18.770000,19.020000,18.764999,18.990000,14.411797,12985
2010-11-25,19.090000,19.100000,18.865000,18.950001,14.381435,6809
2010-11-26,19.000000,19.165001,18.805000,19.115000,14.506656,30090
2010-11-29,19.230000,19.280001,19.100000,19.125000,14.514246,8297
2010-11-30,19.290001,19.525000,19.215000,19.370001,14.700184,13324
2010-12-01,19.334999,19.844999,19.270000,19.780001,15.011336,22766
2010-12-02,19.799999,20.355000,19.700001,20.200001,15.330084,37608
2010-12-03,20.299999,20.340000,19.895000,20.090000,15.246602,21328
2010-12-06,20.250000,20.320000,20.139999,20.250000,15.368026,17105
2010-12-07,20.200001,20.250000,20.115000,20.209999,15.337667,10333
2010-12-08,20.250000,20.459999,19.950001,20.459999,15.527401,33481
2010-12-09,20.469999,20.730000,20.469999,20.520000,15.572933,21993
2010-12-10,20.400000,20.680000,20.334999,20.580000,15.618471,9522
2010-12-13,20.629999,20.700001,20.355000,20.365000,15.455301,12882
2010-12-14,20.355000,20.549999,20.180000,20.549999,15.595700,12842
2010-12-15,20.650000,20.969999,20.570000,20.950001,15.899271,17883
2010-12-16,20.969999,21.110001,20.910000,21.025000,15.956183,14223
2010-12-17,21.020000,21.320000,20.900000,21.250000,16.126942,15919
2010-12-20,21.190001,21.309999,21.150000,21.165001,16.062437,18304
2010-12-21,21.200001,21.389999,21.080000,21.334999,16.191450,34791
2010-12-22,21.365000,21.670000,21.309999,21.650000,16.430504,22775
2010-12-23,21.450001,21.629999,21.379999,21.500000,16.316666,22732
2010-12-27,21.530001,21.530001,21.254999,21.254999,16.130735,15786
2010-12-28,21.379999,21.459999,21.139999,21.445000,16.274929,21830
2010-12-29,21.379999,21.445000,21.209999,21.334999,16.191450,19654
2010-12-30,21.270000,21.315001,21.030001,21.180000,16.073816,10024
2011-01-03,21.049999,21.240000,20.920000,21.025000,15.956183,13187
2011-01-04,20.840000,21.049999,20.820000,21.045000,15.971364,9487
2011-01-05,21.100000,21.299999,20.969999,21.174999,16.070023,13859
2011-01-06,21.200001,21.590000,21.200001,21.590000,16.384968,10306
2011-01-07,22.059999,22.170000,21.834999,21.834999,16.570906,36732
2011-01-10,22.059999,22.195000,21.650000,21.650000,16.430504,15612
2011-01-11,21.799999,21.985001,21.674999,21.674999,16.449488,15021
2011-01-12,21.790001,21.870001,21.584999,21.870001,16.597467,13577
2011-01-13,21.780001,21.780001,21.004999,21.110001,16.020695,30973
2011-01-14,21.139999,21.245001,20.920000,21.084999,16.001717,19013
2011-01-17,21.120001,21.340000,21.110001,21.200001,16.089001,6511
2011-01-18,21.215000,21.334999,21.049999,21.330000,16.187653,11651
2011-01-19,21.299999,21.389999,21.030001,21.184999,16.077610,11797
2011-01-20,21.180000,21.180000,20.975000,21.014999,15.948593,7995
2011-01-21,20.889999,21.030001,20.730000,20.760000,15.755075,15256
2011-01-24,20.770000,20.889999,20.594999,20.780001,15.770252,15333
2011-01-25,20.709999,20.889999,20.700001,20.764999,15.758864,13068
2011-01-26,20.790001,21.139999,20.719999,21.090000,16.005520,9972
2011-01-27,21.020000,21.080000,20.775000,20.855000,15.827174,13133
2011-01-28,21.049999,21.240000,20.385000,20.469999,15.534990,46642
2011-01-31,20.250000,20.400000,19.900000,20.120001,15.269367,57972
2011-02-01,20.250000,20.295000,20.100000,20.174999,15.311106,12522
2011-02-02,20.200001,20.375000,20.160000,20.295000,15.402180,29343
2011-02-03,20.200001,20.559999,20.115000,20.270000,15.383205,15116
2011-02-04,20.250000,20.430000,20.250000,20.424999,15.500839,9701
2011-02-07,20.330000,20.850000,20.330000,20.760000,15.755075,10953
2011-02-08,20.785000,20.799999,20.629999,20.639999,15.664003,15998
2011-02-09,20.600000,20.750000,20.520000,20.549999,15.595700,8690
2011-02-10,20.400000,20.500000,20.165001,20.195000,15.326284,23651
2011-02-11,20.209999,20.635000,20.014999,20.205000,15.333874,18957
2011-02-14,20.299999,20.385000,20.000000,20.165001,15.303522,27886
2011-02-15,20.120001,20.150000,19.995001,20.014999,15.311165,19634
2011-02-16,20.000000,20.090000,19.850000,19.850000,15.184940,38647
2011-02-17,19.850000,20.174999,19.809999,20.075001,15.357070,17735
